id;wallet_holder;key;value;created_date
1;523cc7c0-d52f-4d2b-a594-e99b839fd6c2;how by recklessly;../fake-data/blob/hipster.txt;2024-12-09T00:46:13
2;aa3713f7-939d-4648-94a2-c422cdfc50a7;brisk;../fake-data/blob/hipster.txt;2024-12-09T00:36:21
3;2f29003a-59a7-4e0d-8556-ec972cdef63d;ha whether well-off;../fake-data/blob/hipster.txt;2024-12-09T11:51:09
4;53748b34-97a2-4349-b484-af4ee74bf9a3;nor pace daily;../fake-data/blob/hipster.txt;2024-12-09T11:16:55
5;1793f7f6-d49d-4469-8627-b833b08a384b;hm circa;../fake-data/blob/hipster.txt;2024-12-08T17:25:01
6;8cc4a417-46c6-407b-8fd3-e959599ba5c0;frozen last;../fake-data/blob/hipster.txt;2024-12-09T10:50:46
7;3b19887d-59fe-4d5d-844f-34370da88d7d;instead inborn;../fake-data/blob/hipster.txt;2024-12-09T00:53:28
8;1b433b1e-cf17-4218-848c-9ad0f0e6b4b6;per evenly;../fake-data/blob/hipster.txt;2024-12-09T08:28:02
9;19e8c12c-cb48-42ff-8dab-954d77312e0d;absent phooey;../fake-data/blob/hipster.txt;2024-12-09T03:06:44
10;226617ab-7ee6-4e62-8066-bc40223d67fc;whitewash underneath;../fake-data/blob/hipster.txt;2024-12-09T00:57:25
