id;uuid;wallet_holder;total_quantity;total_price;currency;created_date;last_modified_date
1;5058c2ec-f69e-47a5-9beb-e18e9cb78c12;979d5811-6c94-44cc-9957-ec7b3cf63703;31795;14324.9;up ;2024-12-09T04:03:09;2024-12-09T12:34:17
2;5a3d741e-c8af-41af-9e0a-87c9bf348064;a361d012-4103-4f4d-b84c-7de31fbe50e5;8910;10737.4;rot;2024-12-09T09:55:06;2024-12-09T05:17:43
3;1efc120c-4f93-4e16-8353-623656c86ef5;e84e28fa-1544-47e1-9cb1-68a3458a3991;7155;23256.96;rec;2024-12-08T20:52:09;2024-12-09T06:23:07
4;d500215a-f70c-4cfb-bf55-8ff3b85ca64c;4f897158-c848-4a57-996c-c31544a6e473;32540;4257.39;dec;2024-12-09T05:58:52;2024-12-08T13:35:56
5;c9e28577-957a-4eb2-a45a-9f266c0317c1;730a3781-895a-4368-9d4a-ff364f46b83f;30431;4703.05;oh;2024-12-09T03:39:32;2024-12-09T10:02:40
6;594380be-af4d-466a-8ddb-e2b691e1cadc;c4886933-d1b8-43ab-a9c2-65d5dea8cf6a;6743;10802.53;hmp;2024-12-09T12:20:59;2024-12-08T18:57:14
7;64c338ec-9bee-4d13-9cf6-9480605a5d75;997f9ec7-29bd-4247-931f-adcdcd94ab76;15751;28187.66;sup;2024-12-09T03:06:15;2024-12-08T18:00:00
8;12cebfe7-4676-419a-a815-04bfed6d4a6c;bf541f7c-1e74-4bb1-84ed-ffbc0a6e605d;30797;27148.57;tha;2024-12-09T05:21:49;2024-12-08T19:05:24
9;efcf2b3f-0b1a-475d-b38d-fa606e9ed126;50b1ed1c-b151-4a21-a87b-67770c9878e5;12005;13602.23;mea;2024-12-09T06:35:02;2024-12-08T18:50:00
10;538cf6bf-994f-42b9-a4b6-2d1048967c6d;e92352a0-4324-4543-9648-b5e0c3e4840f;16217;20327.58;arm;2024-12-09T10:33:04;2024-12-08T15:54:40
