id;uuid;cart;product;quantity;price;total_price
1;545e2484-f3b1-4e26-aaf5-c932aa2d9e23;0dce7bc5-3ecb-49d6-8ebd-647fc9e479ea;5ddf2b22-393c-4c21-9398-80613635aa2d;3562;15584.4;13998.85
2;b8684798-6d7b-4b6d-9402-b0484d2dbef5;06581fe4-6100-49b7-9b89-315b2e76a849;e37a5e0a-4890-4799-8039-9e00a9af4f43;22663;8112.88;21266.07
3;d80cf9b6-9d3d-4903-b440-4f0c7ac832db;53d93657-85e9-4034-9ff1-9562f8a2cc19;bdbe64fc-3f16-4b99-af73-9046c0e04717;8171;3662.98;26786.72
4;11623b7e-7739-4359-af42-d0ca0ec98aa1;785afb22-ae54-4691-82d3-4077b3793f91;b32d9fd9-dbb5-426a-ae21-ad319e203867;31891;5475.5;143.99
5;04d250ba-f64f-4aef-b541-bfd255be1c7a;5f854538-132e-49ed-8ce8-c762b013483c;52113a0b-f93c-4744-bf2e-5ce00c89d464;4851;19098.73;13610.17
6;da068efa-cd24-4cd6-a08c-555d18e42239;a3338aa0-0c78-47f9-8e9e-1fb1a8d4fc99;50bd1256-f5bb-4189-96c3-facc27d4ce4a;19671;19249.18;20984.48
7;11f3569e-aafd-4536-b72b-82c95762b2c2;d96a53f1-dd1e-4deb-a554-79886fb4276b;2802a90b-8d04-473c-b0f6-d5098e5c48df;1225;7445.67;18173.2
8;ca15ec8f-cc33-4b4a-a0e6-ccecd9ca680f;78b9e408-63ea-4dca-b2c2-094312fa40b4;a1a0f22c-9b99-4a6d-98fa-ac3524429785;3334;8390.52;1253.63
9;b2bac73a-8bbf-4bc3-88d2-327aa27bfb32;1812f783-fe15-467d-8033-4e80e00d47fd;c9454313-785e-42f9-9a38-abd420a1cc9b;26366;6995.7;30698.2
10;ff9a416e-9932-40a6-83a7-5cf4841c1dfd;17ef01bb-1192-4386-ab7f-c21a6ca3b6f3;d012f6ea-569f-4f1a-9e89-bd30a3d405b4;16527;1951.14;1713.46
