id;uuid;name;type;value;start_date;end_date;status;created_by;created_date;last_modified_by;last_modified_date
1;0958b11f-281e-416c-b583-daf05ce61223;yet;PERCENTAGE;696.56;2024-12-08T22:18:01;2024-12-09T03:33:41;BLOCKED;instead;2024-12-08T13:14:39;roughly clumsy;2024-12-08T14:34:23
2;ce1d6dfd-d4fe-40e4-b4ef-ebc780662339;rigid insert accidentally;PERCENTAGE;9513.57;2024-12-09T11:52:26;2024-12-08T20:16:09;ACTIVE;snuggle team sweetly;2024-12-09T03:37:38;divine puny;2024-12-09T06:30:15
3;84661f4c-f6da-4c92-8dc5-c5a3ca031b40;yuck;PERCENTAGE;15301.81;2024-12-08T20:13:59;2024-12-08T22:18:50;BLOCKED;shadowbox attend;2024-12-09T00:10:41;ah straight oh;2024-12-08T20:27:21
4;e4e4f165-6b08-4535-99bc-40ba56de25a9;longboat even bravely;FIXED;21967.01;2024-12-08T17:14:58;2024-12-08T16:12:05;DELETED;helplessly;2024-12-08T19:58:40;pish;2024-12-09T10:24:28
5;c912cb6a-6163-4170-ae2c-c84b4422410e;incidentally;PERCENTAGE;17894.07;2024-12-09T05:13:57;2024-12-09T07:09:13;PENDING;deeply wherever woot;2024-12-09T09:46:03;around;2024-12-08T21:04:58
6;c9c1d043-b5c5-41b6-a4da-44e7ca91f5b8;in fortunately provided;FIXED;29143.34;2024-12-09T03:24:47;2024-12-09T11:05:46;PENDING;going;2024-12-08T19:06:27;diversity however whereas;2024-12-09T10:44:02
7;c3a03acf-6a62-4771-b822-99f35ae5a3f9;modulo potable;PERCENTAGE;23972.27;2024-12-09T04:33:23;2024-12-09T06:59:55;BLOCKED;worst;2024-12-09T05:58:47;as even;2024-12-09T10:16:50
8;b10c35c6-19ba-4964-b151-43708e879993;fooey barring;PERCENTAGE;24534.05;2024-12-08T18:52:32;2024-12-08T23:47:35;ACTIVE;round round;2024-12-08T21:33:59;bobble kookily;2024-12-09T12:28:04
9;3c4f48d3-cb91-4b47-963a-1d0ec06a2804;editor;PERCENTAGE;32019.4;2024-12-09T01:46:52;2024-12-09T04:43:37;ACTIVE;off gladly;2024-12-09T06:08:38;drat;2024-12-08T23:49:12
10;043fcb8d-eaf6-4ec9-8e22-d752774d62e2;abaft modulo row;PERCENTAGE;11568.61;2024-12-09T02:03:21;2024-12-08T20:24:43;BLOCKED;er gadzooks;2024-12-08T17:32:47;mechanically;2024-12-09T07:14:39
