id;login;ip_address;is_after_lock;app;action;device;created_date;reason
1;rot;dark;true;MOBILE;LOGIN;a273caa3-ca93-4100-b11e-74b38f0a21c2;2024-12-08T13:13:01;crazy
2;gloom;aboard;false;AGENT;TRANSACTION;8a040424-c381-4ee8-b168-d986ca07c3ec;2024-12-08T14:35:07;daintily yippee coliseum
3;along kiddingly;procurement plastic;false;MERCHANT;LOGIN;36f9e85b-3d6b-4014-bc73-f044e128dae4;2024-12-08T21:25:49;ouch
4;hearten;deflect highlight;true;WEB;PASSWORD_RESET;e4641fd9-d270-421a-903b-354f6f361517;2024-12-08T23:02:03;gosh before and
5;making scuffle edge;pro for openly;true;AGENT;LOGIN;b8e3463e-ecd8-4e45-93a7-b6d7e8a7bf6f;2024-12-08T19:03:57;fooey um
6;why;concerning safely;false;MOBILE;DEVICE_CHECK;64b10a6a-98a5-4282-a15b-d1c444d5a23d;2024-12-08T17:58:11;case maestro hence
7;above proud past;whoever deploy;false;MERCHANT;LOGIN;6b52b6e4-2040-40fe-ad1c-c90e1bef4d12;2024-12-09T04:47:16;physical battle yippee
8;like;gah throughout doodle;false;PORTAL;EMAIL_CHECK;f7497006-ab4d-42c8-a575-685ad676d2f0;2024-12-08T17:01:24;unibody perfumed
9;gah geez inhibit;edge;false;MOBILE;PHONENUMBER_CHECK;ef0871f0-50a2-43ab-a8c9-1559e84bf3c8;2024-12-09T13:01:13;into
10;solace beneath;ligate provided;false;MERCHANT;PASSWORD_RESET;a4b56e52-12fd-4943-afb7-48f746b64cb1;2024-12-09T07:55:24;swing beside
