id;login;ip_address;is_after_lock;app;action;device;created_date;reason
1;instead ah;average;false;MERCHANT;LOGIN;99ac5e71-2d13-4419-bdbc-89487fe18147;2024-12-09T02:26:29;pendant
2;extra-large incidentally only;colligate sardonic yet;true;MERCHANT;PASSWORD_RESET;7dd3c966-02f0-42c6-ac72-c98b1b760c31;2024-12-09T08:42:37;dish
3;yet eek anenst;unused quaintly subdued;false;MOBILE;TRANSACTION;4a741519-9c11-4895-b03f-03d6d4e334ee;2024-12-08T13:52:56;preheat likewise
4;boohoo;scared impassioned;false;WEB;DEVICE_CHECK;146b8148-0603-460f-9e3c-b7fafad80784;2024-12-09T04:54:30;enthusiastically consign as
5;despite;hateful yummy boo;false;MOBILE;LOGIN;bda028a4-622c-4b8b-bb73-06a84ac26344;2024-12-08T17:00:40;midwife geez lest
6;gracefully;sarong whoever depend;true;MERCHANT;PHONENUMBER_CHECK;ca72dbdc-3dd2-47bf-927e-a43120d1b53b;2024-12-09T08:05:04;house gah
7;babushka likewise;oh brr physically;true;PORTAL;EMAIL_CHECK;d512e052-e716-462a-beff-229a3bc2de0f;2024-12-09T00:31:29;gosh ew coarse
8;following aw;past absent challenge;true;WEB;TRANSACTION;7a5568b9-442e-4f46-bc9f-f0b35e357041;2024-12-08T22:09:30;versus
9;blend deliquesce since;undergo woot;false;AGENT;TRANSACTION;543ecc26-a0ae-4393-9ad2-2384b7d542a1;2024-12-08T13:57:46;supposing
10;eek oh;near gee regal;true;WEB;PASSWORD_RESET;705de55e-ebe2-4ca4-b61d-6a1d3ea89859;2024-12-08T13:20:56;discourse
