id;uuid;wallet_holder;status;total_price;currency;order_date;payment_method;shipping_address;created_by;created_date;last_modified_by;last_modified_date
1;1c2b07b3-7ec8-4a3a-a37e-4214ea0deba6;291c0aaa-952e-4ff2-9c5d-51d863434618;CANCELED;13029.83;des;2024-12-09T12:41:50;as;../fake-data/blob/hipster.txt;successfully next;2024-12-09T11:42:37;seriously;2024-12-09T05:37:58
2;8dca8c50-b987-4454-9fc9-c5cb8f2be45b;39379f7d-02f5-49f9-9f2d-3a28c746afa3;SHIPPED;3293.67;in ;2024-12-08T15:31:52;major;../fake-data/blob/hipster.txt;nor why;2024-12-09T02:24:47;how;2024-12-09T03:47:55
3;25034d6a-aa20-4789-98a7-b950575c8cb6;6af70495-7e64-4a6b-b667-487f7460e0ed;CANCELED;30410.59;yuc;2024-12-08T16:26:01;acidly;../fake-data/blob/hipster.txt;around;2024-12-08T17:41:24;disappointment innovate up;2024-12-09T07:12:15
4;04b801be-1503-4fe2-85f5-bc360e67f0d7;1fb0f02f-b396-474d-8540-110979cb77d5;CONFIRMED;13004.22;man;2024-12-08T13:38:19;how who;../fake-data/blob/hipster.txt;unless;2024-12-08T14:39:37;yieldingly yuck;2024-12-09T07:54:21
5;58eec23b-e9a9-49a6-b266-317bbab4c375;df123029-ae1e-4eae-acf4-bbf48647fd66;CONFIRMED;17878.36;upb;2024-12-08T19:48:34;qua unless;../fake-data/blob/hipster.txt;ha blah;2024-12-08T15:45:31;awkwardly above;2024-12-09T03:34:36
6;4fcf8b8d-e3d2-4501-9015-e35eee3d43ea;8cd50349-6a35-4b6f-9a6b-fb0fed3d0ece;SHIPPED;9715.61;lam;2024-12-08T23:22:00;who unsung;../fake-data/blob/hipster.txt;hence phooey precedent;2024-12-09T01:16:17;meaningfully similar;2024-12-09T06:03:29
7;5e61710d-a9cf-4edc-94b8-628b383ad287;73e5bfe7-3abc-40d3-bbfb-b5f2abf20eb1;DELIVERED;20666.08;cus;2024-12-08T13:13:07;about inexperienced;../fake-data/blob/hipster.txt;accompanist psst;2024-12-09T07:14:31;when daily ack;2024-12-08T22:18:52
8;d1232f72-4182-4ee3-a162-0891bd5727de;9ee8a631-1c6c-43db-a54c-ad10bd59c1e8;CONFIRMED;23167.2;giv;2024-12-08T22:00:30;eyeglasses proper helplessly;../fake-data/blob/hipster.txt;bolster;2024-12-08T19:35:22;blah brandish;2024-12-08T22:19:47
9;49e86379-b4d8-4250-9f42-a9abbcfc4081;c5f95289-d462-4065-b41b-10ff82ed0bd7;PENDING;17998.24;lik;2024-12-09T05:37:13;heating unless;../fake-data/blob/hipster.txt;spanish and boohoo;2024-12-09T10:26:09;fedora an safely;2024-12-09T08:44:47
10;511a9943-3c0d-4739-979d-80ef2ac0f698;84d6355e-4732-48a3-940e-ad69d145bead;CONFIRMED;17684.61;sto;2024-12-08T20:46:43;knife worth;../fake-data/blob/hipster.txt;potentially dishearten;2024-12-08T15:47:46;if;2024-12-08T23:46:46
