id;uuid;status;other_holder;amount;description;currency;wallet_holder;created_by;created_date;last_modified_by;last_modified_date
1;a30e51bc-de19-42e2-884b-02119f92805a;PENDING;91690f1d-1f21-4e88-bcf0-446a6ac083e4;27038.12;too;red;52d000a6-632c-4b0e-ad2b-015991f494e8;better forearm;2024-12-08T13:08:42;putrefy phooey below;2024-12-08T19:12:11
2;70b12038-db45-4617-9b03-30d38d6426c4;FAILED;d1fdee16-238d-4643-8229-5289621ddddd;23373.7;whoever;who;cee1e8cf-bad2-4271-a3b7-9c063a856c1f;indeed whose and;2024-12-08T19:01:39;eek;2024-12-08T15:58:35
3;09e04bf8-c387-4297-b7e9-81eb619742cc;SENT;1a1c4ac7-1197-470f-9190-ff5fe9a9a8bf;24953.01;once;who;010409ab-34cf-45ec-8ae1-dfdaafac693e;darn;2024-12-09T07:45:27;gnaw;2024-12-09T01:58:21
4;cc141b5b-9cce-4d3d-b8b0-ff0d70e454af;FAILED;f71bbd87-3351-4f84-89c3-1eac39aaba58;29503.74;oh meanwhile badly;aft;7e0089e4-6f72-44bc-9397-a7cdc9e24df0;shameless never humor;2024-12-08T22:34:03;accountability closed anxiously;2024-12-09T02:51:42
5;0237fc13-3e86-4ba4-af53-b1dc183b2924;SENT;57460736-0ba8-4d69-ba0d-65b28cfeaa74;10183.36;wrongly modulo;cal;0bd191b6-8a76-44f8-9236-62b7af60c5da;complete aha aside;2024-12-09T09:43:07;fantastic until;2024-12-09T04:42:45
6;b95de513-3f1d-4a89-9bf5-2c7e6864693c;FAILED;3943e41f-a9b2-45b9-9a11-935379f9510b;23185.97;by lampoon;fit;99a9ca19-fff1-4f59-b74d-4262b2b2f625;meal ew;2024-12-09T03:42:09;yieldingly flowery;2024-12-08T22:04:48
7;5c2cd958-6bf9-4295-8f5f-203639ecaaff;SENT;7dfbd2cf-bb99-4b15-bdef-8ef26ce3f2f8;30786.04;integer;wor;5843d2db-9aab-4d4c-a728-3d89fa6201e6;deplore shadowy coarse;2024-12-08T18:40:11;covenant prohibition;2024-12-08T13:30:16
8;7eae9a9e-b0c4-435e-8622-05de627edb2f;PROCESSED;e0e06579-2b09-458a-a128-9f9b01e04b52;10955.74;so gah;bef;82fbe52b-60bd-457e-addd-fc64839e64ac;why indeed doting;2024-12-09T09:10:50;traffic;2024-12-09T09:34:53
9;10b822c0-ea02-49ed-a976-3be7a22e0078;FAILED;3287345c-8e92-429d-9937-f03693ef1feb;29436.1;reckless couch ideal;tha;641b7679-0da5-49dd-80e9-0914494eb4a6;gladly;2024-12-08T22:25:53;soon pop gee;2024-12-09T00:07:03
10;d522df0d-24d5-4840-bf7f-d0fdee0ebc64;PROCESSED;feb7f1a1-bac5-44f0-b5f4-b626340ec32d;1380.63;flashy plus bore;con;ee01b1fb-4f52-47cb-9257-f7d4ad680316;midst whale yum;2024-12-08T14:31:01;polite morbidity;2024-12-09T10:41:01
