id;uuid;wallet_holder;title;description;status;media;media_content_type;price;compare_at_price;cost_per_item;profit;margin;inventory_quantity;inventory_location;track_quantity
1;3ee82eb5-a7de-472f-8397-480fd6d3d118;b0b66f2d-a4e6-4627-b4a6-01f6aa303bea;upward muted;without;Active;../fake-data/blob/hipster.png;image/png;14291.32;334.36;25053.19;19931.96;30760.2;22656;quantify;false
2;a2b12c91-ed65-4747-87c9-b6317bd4bcf6;336b661d-4113-4fe5-8ca7-fd0f825864ed;muddy;elastic offset;Inactive;../fake-data/blob/hipster.png;image/png;8211.63;32043.74;23304.26;26977.7;2628.78;1149;given quit sailor;false
3;f9705d15-20f3-4067-85f7-e691952e5227;44e18618-e664-44b7-964e-53a695b20c29;sup convince incidentally;provided dime furthermore;Active;../fake-data/blob/hipster.png;image/png;32695.43;25275.75;4730.1;18043.47;15750.39;21579;cleverly considering;false
4;d840d302-b4e1-4330-b96a-463422a37102;06a48d89-780e-454b-a0f6-46bd30e74379;loosely;anenst;Active;../fake-data/blob/hipster.png;image/png;30454.38;26688.11;19939.05;251.96;11209.17;29705;soap from;false
5;4dc33833-e003-49ef-919a-5c9a320b046c;c5796d8f-da36-4266-87e6-95eaa2948347;fooey down muted;regal where chairperson;Inactive;../fake-data/blob/hipster.png;image/png;32291.87;9401.92;25636.96;3520.88;10367.16;14342;behind unzip gnash;true
6;e42810f2-66b0-4499-bee7-70cb07ffaf85;24c0515b-8ae9-4617-a51b-239b3d215951;made-up react;cross-contamination crystallize;Inactive;../fake-data/blob/hipster.png;image/png;29999.09;15265.68;15221.33;13691.44;28491.07;416;outgoing zowie zowie;false
7;51f6a40e-78ae-4e42-a502-c480355950ab;87ec2a55-4151-4b47-a391-1767c9675a91;newsprint;gah continually loyally;Active;../fake-data/blob/hipster.png;image/png;5852.67;11320.45;20577.63;23816.47;28862.24;6669;intensely fragrant;true
8;ec230513-3c10-4c7d-9dea-a06da03372e7;78f61688-651b-42c1-adfe-207c131b083d;up than minus;prance which sarcastic;Active;../fake-data/blob/hipster.png;image/png;5608.28;23440.68;18586.53;13257.85;32131.12;12217;circumference pension inasmuch;true
9;344ea020-6596-46aa-a895-a04ee78924db;a7dbf024-9138-467e-9d39-ea3a6f9e3c2d;legend;astride reapply;Active;../fake-data/blob/hipster.png;image/png;9599.01;15714.24;13525.11;5073.01;21555.08;8880;championship;true
10;4fabc08c-93b0-4d8b-a01f-8b9e237294fe;13e06302-d754-4108-9be8-2328993e728a;exterior;knowingly boom;Inactive;../fake-data/blob/hipster.png;image/png;1077.04;17253.66;12667.52;15936.5;29683.71;1609;yahoo border;true
