id;uuid;referal_code;wallet_holder;refered;status;created_by;created_date;last_modified_by;last_modified_date
1;7de4d66b-19f4-4459-b9ac-591dbeda4efb;whether lasting;889a3169-9f2d-40fa-b0db-c40816a62835;87e75b0b-4258-4a72-9b63-95c79995fb11;PAID;engender;2024-12-08T21:23:30;er save gracefully;2024-12-08T14:33:25
2;fc1f8f0c-65d8-4a06-bf58-e7b689e5672d;strictly hairy;31e06dc7-f599-439a-a99f-78615738f92d;c3aeec08-8dcb-4b7b-adda-6009d8183786;REJECTED;actually via scrape;2024-12-09T03:31:01;regarding stitcher;2024-12-09T09:42:08
3;58070ef9-be96-48db-90d1-75ac82cde6f0;weep;6a199154-bfbb-443a-8ffc-78271b3bd272;fa991f9b-0883-45cd-883f-5d0b1bfc77b2;PAID;likewise jump;2024-12-09T06:55:31;whenever proceed;2024-12-09T08:34:50
4;5d230484-2f81-46f0-8d2a-a4307a85f6d7;because minor knowledgeably;654ae697-672e-45f9-90ba-78f65107057e;09046599-ce0e-4e99-a662-2f62f95355aa;REJECTED;phew covenant brr;2024-12-09T12:27:51;fraudster;2024-12-09T11:32:10
5;f3e48111-b42f-4a8d-99ac-b803b09158fc;sizzling;cf91a78d-364f-4049-a188-7f71624d2ddd;a07c8713-bf15-44f2-a9f9-9500da2e4600;REJECTED;zealous;2024-12-08T14:24:13;dress;2024-12-09T06:47:49
6;4b73042a-289d-4a87-8578-3688030ba494;which;54bbc3a1-4723-4e73-be09-c30af5453f3b;21f1e3df-d1e1-4c3e-9dd1-4aa30cd35618;PAID;chops;2024-12-09T10:38:21;meanwhile;2024-12-08T16:37:52
7;b0dfb2ce-fb26-46c9-8b52-e26cde2c1477;pish;ad1ec484-765c-4116-ae71-4315e9cbcff6;790c8645-d7d7-4d98-870f-051ca3385a9a;CONFIRMED;phooey um gah;2024-12-09T04:21:31;however supportive whoa;2024-12-08T18:30:33
8;2d61e1a7-9916-4df0-8ebd-e6f3e54dd52f;of yuck;2e7b256f-4a8c-4b02-8da1-0096411f2b88;62226a4e-8662-4822-bca6-642ff9a52ab6;PAID;wry;2024-12-09T08:07:41;spiffy gosh;2024-12-08T14:18:03
9;59aeddc5-60e1-454c-80da-bc2b6cc61688;ugh youthfully through;bbb82c4b-1e3a-4939-a062-f664d18cc956;d735f0d5-73c7-4618-8c36-8978d3be8518;PAID;footrest truly;2024-12-08T13:46:21;woot toward;2024-12-09T05:16:51
10;99bcc6ce-6c5d-4052-af7d-003ba435cb5d;boo but peninsula;9aa2f94c-bf01-4953-a9e3-a555098e0223;d104d3f6-e783-41e4-94dd-6f6649fc5d13;PAID;incidentally;2024-12-09T08:35:40;shyly except;2024-12-09T04:34:40
