id;uuid;product;wallet_holder;rating;comment;created_date
1;4372fa9c-8500-4419-8b49-cf92cb7f54ac;696003af-7ff7-49cd-a45c-a13c6073132c;8f6866d2-d62b-4b21-8c5d-cb97a1f7115e;4;consequently;2024-12-08T15:09:12
2;5565c55b-d19a-4424-a666-42bbe44a62f7;f52571db-bee7-4724-a318-ce823f291b49;93ff5734-6ddb-4a8d-b582-51f810c06472;4;yahoo record vain;2024-12-08T21:00:47
3;55209e0b-3a5e-4177-a4f0-dc283b5bcae2;ede38196-c09a-4005-9bec-b820cb529d84;b4c5a452-5a39-464c-b5d9-dfc7fa5a1514;4;voluntarily;2024-12-09T02:26:12
4;7ace1e84-1e29-42f4-8965-55a6f9df12f9;bcda63fc-bc97-4d77-a6ea-26d1f671aff6;02d77435-45d0-4a88-a6da-cb880af6778e;2;pish;2024-12-08T19:57:04
5;ec061ecd-938a-48ee-a009-9147fc358a40;c037bfdf-7c28-4056-9c48-e1fec88c8e62;fc2ee468-5d21-4233-8cd7-f409160a11af;1;whoa stake swing;2024-12-09T00:30:45
6;dff80371-12ec-44f0-95c1-77056b94d5bb;706d6884-1ee0-4822-bdb9-b1f70d9c5d2d;adba5892-45be-437a-a4f7-bbab7a5b83c7;2;oof ouch questioningly;2024-12-08T16:01:23
7;49c210d5-29bb-477e-9305-be6b2eadb090;b5cd09c4-7cf0-45cb-a4e9-2155d8944680;9c432230-4f33-4c8e-b866-266e37c19842;4;nucleotidase;2024-12-08T14:39:12
8;e912f126-3191-46e6-9a51-20d5f935dba9;4ff3548c-e853-47d9-ac59-8c23ecbf4460;b020e4a4-b50f-4cba-86cf-79ab7b7384fd;2;perfectly;2024-12-09T07:51:06
9;46417546-4624-4a05-aea2-90a1fe4a81f5;f8bb4af7-b11c-415f-9b23-fa346a896f47;e1142bd6-b358-45ef-9c3f-b61f3a1c2863;1;downchange knavishly pish;2024-12-09T12:59:17
10;1c31c954-0a2c-4c18-a06f-3cb56d0d4555;dc182a27-f542-4e2c-aaf5-5d3c7d44b48d;c2bf7dbc-e133-411a-b50b-ef26506752ff;4;boohoo;2024-12-08T17:00:05
