id;uuid;type;status;direction;amount;description;fee;commission;currency;counterparty_type;counterparty_id;entry_date;effective_date;start_time;end_time;parent;reference;external_id;partner_token;wallet;created_by;created_date;last_modified_by;last_modified_date
1;3d0aa435-47aa-468a-854d-4b28c4700602;COMMISSION;FAILED;DEBIT;19857.94;fat lava;6873.11;31212.51;mom;CARD;eek supposing accidentally;2024-12-09;2024-12-08;2024-12-09T11:24:55;2024-12-08T22:30:16;6830aaa9-8620-4348-9eca-70bab0443016;ethical;within quaff;lender gadzooks;39b44fe5-3673-4124-8e23-71c534774687;vastly;2024-12-09T04:09:36;tool oof;2024-12-08T15:26:21
2;c8dfe144-5c28-4cd2-8808-2b41d3d67a0e;COMMISSION;PENDING;CREDIT;3447.97;nougat;28167.86;23866.17;cle;WALLET;far;2024-12-09;2024-12-09;2024-12-09T10:07:33;2024-12-09T07:35:10;057f20a2-4e60-4743-ba51-660c59c23a8f;mysteriously focalise stitcher;save ha delectable;snow;10e909c8-cf09-4958-be10-433df910ff22;tired ew fen;2024-12-09T13:08:23;psst decide;2024-12-08T19:10:14
3;15f6a05e-8031-4c70-b355-a9d4a249e8f4;RECEIVE;CONFIRMED;CREDIT;29061.88;dimly blah ugh;3391.24;7098.97;jut;RECIPIENT;gadzooks;2024-12-09;2024-12-08;2024-12-09T00:06:49;2024-12-08T13:38:58;345ec671-55f6-49c0-972c-5d8e6f6ff0b1;concentration fine presell;volleyball;toady;6c9ee33e-b1b0-42e2-8c07-cc69f587a5cb;presell subtract;2024-12-09T05:48:16;season round;2024-12-08T17:10:02
4;3b279814-29f7-4041-9889-93021e5c5389;PAY;PARTNER_REJECTED;CREDIT;13107.63;afterwards overheard shiny;10349.71;26113.92;lig;BENEFICIARY;but speedily;2024-12-08;2024-12-09;2024-12-09T09:45:35;2024-12-08T23:34:32;64a404d1-94d0-4967-b103-90d40e839aaa;provided;for;premier smart;bb5538ab-f748-49f3-9853-9fea4e31b85a;boo scarcely glimmer;2024-12-09T04:49:56;till uncover meanwhile;2024-12-09T00:44:56
5;7832a111-7e3e-4e22-aaf9-09eee8e2ca34;TRANSFER_IN;FAILED;DEBIT;32376.97;atop;30039.67;17027.63;oh;BENEFICIARY;pace above;2024-12-09;2024-12-09;2024-12-08T21:24:13;2024-12-09T04:31:52;f1c2d498-8b84-427f-a3e7-443f1417eafc;milestone phew selfishly;consequently contradict;politely forager instead;c12788e6-475a-43c5-aa88-88452545e562;regarding subtle exotic;2024-12-08T22:40:30;pish the scarcely;2024-12-09T05:10:01
6;d767557a-c640-4198-a864-a423b5ebb5a2;WIRE_IN;PROCESSED;DEBIT;20354.83;fast swath embody;6359.77;13201.41;str;RECIPIENT;inscribe delicious sundae;2024-12-09;2024-12-09;2024-12-09T03:40:01;2024-12-08T22:58:48;1ab0adb7-bfed-4af0-b769-12fb1d7d7e43;granular enlightened;yowza apologise;uh-huh nervously psst;f28da786-f65e-4611-b0a6-74743cbb3489;disloyal ack alliance;2024-12-08T20:13:04;ouch willfully;2024-12-09T05:58:11
7;94f6800d-882b-4fc4-a4d2-fb427fabb6e2;WIRE_IN;PROCESSED;CREDIT;23363.6;endow;19983.71;686.54;ove;BENEFICIARY;likely boohoo;2024-12-09;2024-12-08;2024-12-09T00:43:50;2024-12-08T15:57:00;d112eee2-95e9-4eef-9afa-5e1121338e8c;weary carelessly offset;ideal;geez;d337454e-859f-46fc-9014-878be507dee4;freely exaggerate;2024-12-09T09:58:49;bony yowza;2024-12-09T01:40:31
8;06283e3e-4c90-4a09-95e4-16dd95cce88e;FEE;REJECTED;CREDIT;13392.65;militate what;3623.12;26554.15;ori;RECIPIENT;justly paintwork;2024-12-08;2024-12-09;2024-12-08T17:15:41;2024-12-09T08:02:03;1b5fd2ff-b878-42ae-80a9-8c5bb0a55e3c;phew unnecessarily whenever;positively communicate;baritone syringe unfit;058d21e0-92b7-48e7-917d-2d4567547ba5;lay wearily excitedly;2024-12-09T03:55:24;an;2024-12-09T11:23:37
9;5ab6d21e-1160-4e65-b837-f146be623bee;WIRE_IN;FAILED;CREDIT;11252.13;gadzooks though;27930.27;9005.1;tig;WALLET;when reconsideration;2024-12-08;2024-12-09;2024-12-09T09:10:05;2024-12-09T01:23:57;6c3229ca-9c26-4db8-b2fb-cd4c8287092e;blaspheme;phew;regarding unscramble;09e8b93f-8ea5-412a-876f-7ab814fb3739;sympathetically deceivingly sweetly;2024-12-09T05:59:19;giving yuck;2024-12-09T04:47:40
10;2811dd6c-0f12-4072-bbde-6f9e996413cd;COMMISSION;CONFIRMED;DEBIT;23026.46;times grade;6513.51;28101.6;fru;BENEFICIARY;although partially honored;2024-12-09;2024-12-09;2024-12-09T06:23:45;2024-12-09T01:32:00;3def9fc1-7b21-4788-8c48-b3f5dd1486b8;consequently smoothly ew;ill-fated;possible configuration;1b9607fe-58ac-4f20-bd7b-7d85d293f385;baseboard concerning;2024-12-09T07:38:15;upright expense;2024-12-09T09:03:11
