id;wallet_holder;affiliation;created_by;created_date
1;f767e576-2aa5-4107-a3fe-dffd36e65f3d;within on until;backbone until;2024-12-09T05:28:12
2;92d7f62a-5047-4a23-a1c7-86ac59572a16;monthly;bah;2024-12-08T22:24:33
3;bb0ca0d3-bef5-4fd2-8cc4-97975fdfa09c;octave;alongside joyous as;2024-12-09T00:54:13
4;ecb70c43-2bdd-4344-b560-b5e0c003b061;depend even notwithstanding;broadly;2024-12-08T18:53:48
5;c2d0f4a3-2f59-4edc-9dd0-4217432379f8;growing unexpectedly;coaxingly silently consequently;2024-12-08T21:18:00
6;27ca5cd3-3979-400a-a3b2-8eeea5fc3995;besides;um;2024-12-09T04:11:10
7;db9c3593-2249-4a25-abe4-b2427727dc13;gadzooks as;inscribe highly swiftly;2024-12-09T05:37:53
8;06095981-55bf-4859-b592-261fdf83be40;orX;cleverly procurement;2024-12-09T12:05:28
9;5de0244f-0f08-4a37-bf67-afa93c449782;moralise seldom oh;describe pronoun;2024-12-08T17:06:52
10;cee90932-4c1b-4c47-88c1-ddee0aafd499;productive;ugh;2024-12-09T09:54:30
