id;app;name;setting;created_date
1;MOBILE;finally how;emergent;2024-12-09T12:07:33
2;AGENT;of handy;although;2024-12-08T23:21:11
3;WEB;less;greedily above instantly;2024-12-09T02:10:09
4;MOBILE;utterly;during phew mmm;2024-12-09T06:43:55
5;MOBILE;pace;which retract;2024-12-09T11:10:03
6;AGENT;and;next impeccable;2024-12-09T10:53:48
7;PORTAL;quietly;unruly extra-large;2024-12-09T03:42:40
8;WEB;expansion dial sway;ick;2024-12-09T12:12:34
9;AGENT;the;poorly shocked concerning;2024-12-08T23:48:58
10;PORTAL;gastropod;snappy elevator;2024-12-08T15:13:43
